team,ranking,elo,points,w,d,l,goals_for,goals_against,goal_difference,matched_played,last_date
Man City,1,1657.8,100,32,4,2,106,27,79,38,2018-05-09
Man United,2,1546.36,81,25,6,7,68,28,40,38,2018-05-13
Tottenham,3,1546.04,77,23,8,7,74,36,38,38,2018-05-13
Liverpool,4,1525.72,75,21,12,5,84,38,46,38,2018-05-13
Chelsea,5,1471.52,70,21,7,10,62,38,24,38,2018-05-09
Arsenal,6,1436.36,63,19,6,13,74,51,23,38,2018-05-06
Burnley,7,1375.04,54,14,12,12,36,39,-3,38,2018-05-13
Everton,8,1389.84,49,13,10,15,44,58,-14,38,2018-05-05
Leicester,9,1344.76,47,12,11,15,56,60,-4,38,2018-05-09
Newcastle,10,1371.0,44,12,8,18,39,47,-8,38,2018-05-13
Crystal Palace,11,1409.8,44,11,11,16,45,55,-10,38,2018-05-13
Bournemouth,12,1379.64,44,11,11,16,45,61,-16,38,2018-05-05
West Ham,13,1374.48,42,10,12,16,48,68,-20,38,2018-05-13
Watford,14,1303.04,41,11,8,19,44,64,-20,38,2018-05-05
Brighton,15,1349.44,40,9,13,16,34,54,-20,38,2018-05-04
Huddersfield,16,1305.2,37,9,10,19,28,58,-30,38,2018-05-13
Southampton,17,1332.72,36,7,15,16,37,56,-19,38,2018-05-13
Swansea,18,1271.68,33,8,9,21,28,56,-28,38,2018-05-13
Stoke,19,1298.28,33,7,12,19,35,68,-33,38,2018-05-05
West Brom,20,1311.28,31,6,13,19,31,56,-25,38,2018-05-05
