team,elo,round
Man City,1437.44,1
Liverpool,1440.4,1
Tottenham,1437.44,1
Man United,1398.12,1
Chelsea,1437.44,1
Arsenal,1362.56,1
Everton,1419.6,1
Leicester,1400.72,1
West Ham,1361.88,1
Burnley,1380.72,1
Crystal Palace,1399.6,1
Watford,1439.28,1
Newcastle,1380.4,1
Bournemouth,1438.12,1
Brighton,1401.88,1
Southampton,1380.4,1
Huddersfield,1362.56,1
Swansea,1200,1
Stoke,1200,1
West Brom,1200,1
Man City,1450.04,2
Liverpool,1476.48,2
Tottenham,1441.8,2
Man United,1399.56,2
Chelsea,1472.88,2
Arsenal,1402.72,2
Everton,1417.2,2
Leicester,1401.4,2
West Ham,1323.8,2
Burnley,1340.48,2
Crystal Palace,1360.28,2
Watford,1470.52,2
Newcastle,1347.76,2
Bournemouth,1418.4,2
Brighton,1383.56,2
Southampton,1383.04,2
Huddersfield,1366.92,2
Swansea,1200,2
Stoke,1200,2
West Brom,1200,2
Man City,1479.92,3
Liverpool,1508.48,3
Tottenham,1441.88,3
Man United,1422.64,3
Chelsea,1479.56,3
Arsenal,1437.72,3
Everton,1374.2,3
Leicester,1400.0,3
West Ham,1356.12,3
Burnley,1349.8,3
Crystal Palace,1377.6,3
Watford,1442.6,3
Newcastle,1333.96,3
Bournemouth,1411.36,3
Brighton,1365.44,3
Southampton,1369.08,3
Huddersfield,1328.88,3
Swansea,1200,3
Stoke,1200,3
West Brom,1200,3
Man City,1495.16,4
Liverpool,1505.76,4
Tottenham,1468.04,4
Man United,1414.24,4
Chelsea,1494.2,4
Arsenal,1472.32,4
Everton,1415.64,4
Leicester,1394.64,4
West Ham,1358.68,4
Burnley,1365.52,4
Crystal Palace,1343.4,4
Watford,1402.36,4
Newcastle,1302.36,4
Bournemouth,1449.48,4
Brighton,1372.52,4
Southampton,1338.72,4
Huddersfield,1318.56,4
Swansea,1200,4
Stoke,1200,4
West Brom,1200,4
Man City,1527.48,5
Liverpool,1526.04,5
Tottenham,1462.92,5
Man United,1438.84,5
Chelsea,1502.52,5
Arsenal,1479.52,5
Everton,1411.4,5
Leicester,1376.52,5
West Ham,1347.16,5
Burnley,1339.52,5
Crystal Palace,1335.96,5
Watford,1438.8,5
Newcastle,1289.84,5
Bournemouth,1456.84,5
Brighton,1410.4,5
Southampton,1340.96,5
Huddersfield,1295.2,5
Swansea,1200,5
Stoke,1200,5
West Brom,1200,5
Man City,1548.04,6
Liverpool,1532.8,6
Tottenham,1497.8,6
Man United,1450.48,6
Chelsea,1503.24,6
Arsenal,1470.52,6
Everton,1435.72,6
Leicester,1388.92,6
West Ham,1363.84,6
Burnley,1330.64,6
Crystal Palace,1312.8,6
Watford,1412.6,6
Newcastle,1338.12,6
Bournemouth,1409.16,6
Brighton,1371.44,6
Southampton,1334.36,6
Huddersfield,1311.64,6
Swansea,1200,6
Stoke,1200,6
West Brom,1200,6
Man City,1569.52,7
Liverpool,1560.6,7
Tottenham,1496.72,7
Man United,1436.48,7
Chelsea,1494.12,7
Arsenal,1508.4,7
Everton,1434.88,7
Leicester,1408.2,7
West Ham,1374.68,7
Burnley,1291.92,7
Crystal Palace,1338.8,7
Watford,1379.2,7
Newcastle,1337.12,7
Bournemouth,1380.92,7
Brighton,1390.76,7
Southampton,1318.36,7
Huddersfield,1317.68,7
Swansea,1200,7
Stoke,1200,7
West Brom,1200,7
Man City,1559.32,8
Liverpool,1583.4,8
Tottenham,1522.52,8
Man United,1446.64,8
Chelsea,1492.24,8
Arsenal,1514.92,8
Everton,1419.72,8
Leicester,1387.24,8
West Ham,1401.64,8
Burnley,1306.2,8
Crystal Palace,1311.88,8
Watford,1373.0,8
Newcastle,1323.72,8
Bournemouth,1380.56,8
Brighton,1381.0,8
Southampton,1293.68,8
Huddersfield,1297.28,8
Swansea,1200,8
Stoke,1200,8
West Brom,1200,8
Man City,1535.12,9
Liverpool,1606.32,9
Tottenham,1545.92,9
Man United,1453.2,9
Chelsea,1478.8,9
Arsenal,1494.04,9
Everton,1393.44,9
Leicester,1396.88,9
West Ham,1393.24,9
Burnley,1291.64,9
Crystal Palace,1366.6,9
Watford,1412.2,9
Newcastle,1338.12,9
Bournemouth,1381.24,9
Brighton,1347.4,9
Southampton,1343.12,9
Huddersfield,1254.6,9
Swansea,1200,9
Stoke,1200,9
West Brom,1200,9
Man City,1523.64,10
Liverpool,1621.92,10
Tottenham,1523.24,10
Man United,1472.52,10
Chelsea,1513.96,10
Arsenal,1478.8,10
Everton,1391.12,10
Leicester,1391.88,10
West Ham,1389.28,10
Burnley,1298.56,10
Crystal Palace,1343.88,10
Watford,1385.92,10
Newcastle,1339.52,10
Bournemouth,1360.68,10
Brighton,1372.2,10
Southampton,1309.6,10
Huddersfield,1232.4,10
