team,elo,round
Man United,1416.6,1
Bournemouth,1416.6,1
Fulham,1376.6,1
Huddersfield,1376.6,1
Newcastle,1376.6,1
Watford,1416.6,1
Wolves,1396.6,1
Arsenal,1376.6,1
Liverpool,1416.6,1
Southampton,1396.6,1
Cardiff,1383.4,1
Chelsea,1423.4,1
Everton,1403.4,1
Leicester,1383.4,1
Tottenham,1423.4,1
West Ham,1383.4,1
Brighton,1383.4,1
Burnley,1403.4,1
Man City,1423.4,1
Crystal Palace,1423.4,1
Man United,1398.12,2
Bournemouth,1438.12,2
Fulham,1362.56,2
Huddersfield,1362.56,2
Newcastle,1380.4,2
Watford,1439.28,2
Wolves,1379.28,2
Arsenal,1362.56,2
Liverpool,1440.4,2
Southampton,1380.4,2
Cardiff,1379.6,2
Chelsea,1437.44,2
Everton,1419.6,2
Leicester,1400.72,2
Tottenham,1437.44,2
West Ham,1361.88,2
Brighton,1401.88,2
Burnley,1380.72,2
Man City,1437.44,2
Crystal Palace,1399.6,2
Man United,1376.92,3
Bournemouth,1433.68,3
Fulham,1380.16,3
Huddersfield,1360.08,3
Newcastle,1360.24,3
Watford,1453.68,3
Wolves,1379.16,3
Arsenal,1379.12,3
Liverpool,1454.88,3
Southampton,1358.12,3
Cardiff,1382.08,3
Chelsea,1457.6,3
Everton,1424.04,3
Leicester,1423.0,3
Tottenham,1458.64,3
West Ham,1345.32,3
Brighton,1387.4,3
Burnley,1363.12,3
Man City,1437.56,3
Crystal Palace,1385.2,3
Man United,1399.56,4
Bournemouth,1418.4,4
Fulham,1384.0,4
Huddersfield,1366.92,4
Newcastle,1347.76,4
Watford,1470.52,4
Wolves,1400.68,4
Arsenal,1402.72,4
Liverpool,1476.48,4
Southampton,1383.04,4
Cardiff,1358.48,4
Chelsea,1472.88,4
Everton,1417.2,4
Leicester,1401.4,4
Tottenham,1441.8,4
West Ham,1323.8,4
Brighton,1383.56,4
Burnley,1340.48,4
Man City,1450.04,4
Crystal Palace,1360.28,4
Man United,1426.76,5
Bournemouth,1434.04,5
Fulham,1370.96,5
Huddersfield,1343.12,5
Newcastle,1327.48,5
Watford,1443.32,5
Wolves,1414.04,5
Arsenal,1423.0,5
Liverpool,1497.92,5
Southampton,1379.64,5
Cardiff,1347.76,5
Chelsea,1483.6,5
Everton,1388.92,5
Leicester,1385.76,5
Tottenham,1420.36,5
West Ham,1352.08,5
Brighton,1386.96,5
Burnley,1327.12,5
Man City,1463.08,5
Crystal Palace,1384.08,5
Man United,1422.64,6
Bournemouth,1411.36,6
